"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME"
"dbo","tblTrainEventInActiveMovements","EventTrainLocomotiveData"
"dbo","tblTrainEventInActiveMovements","EventTrainConsistData"
"dbo","tblTrainEventInActiveMovements","EventTrainType"
"dbo","tblTrainEventInActiveOther","TrainSheetUID"
"dbo","tblTrainEventInActiveRestrictions","TrackName"
"dbo","tblTrainEventInActiveWorkOrders","TrainSheetUID"
"dbo","tblTrainEventInActiveWorkOrders","TrainSymbol"
"dbo","tblTrainEventInActiveWorkOrders","CrewRoute"
"dbo","tblTrainEventInActiveWorkOrders","KeyTrain"
"dbo","tblTrainLocomotiveConsistActive","TrainGUID"
"dbo","tblTrainLocomotiveConsistActive","TrainSheetUID"
"dbo","tblTrainLocomotiveConsistInActive","TrainGUID"
"dbo","tblTrainLocomotiveConsistInActive","TrainSheetUID"
"dbo","tblTrainOsEventsActive","TrainSheetGUID"
"dbo","tblTrainOsEventsActive","TrackGUID"
"dbo","tblTrainOsEventsInActive","TrainSheetGUID"
"dbo","tblTrainOsEventsInActive","TrackGUID"
"dbo","tblTrainPlanActive","TrainPlanGUID"
"dbo","tblTrainPlanActive","MessageType"
"dbo","tblTrainPlanActive","UsrDefTrainName"
"dbo","tblTrainPlanActive","FrgnTrainName"
"dbo","tblTrainPlanActive","TrainType"
"dbo","tblTrainPlanActive","TrainKind"
"dbo","tblTrainPlanActive","TrainNotes"
"dbo","tblTrainPlanActive","MinRoutePoint"
"dbo","tblTrainPlanActive","MaxRoutePoint"
"dbo","tblTrainPlanActive","NoOfRoutePoint"
"dbo","tblTrainPlanActive","RoutePointGUIDs"
"dbo","tblTrainPlanData","TrainPlanGUID"
"dbo","tblTrainPlanData","MessageType"
"dbo","tblTrainPlanData","UsrDefTrainName"
"dbo","tblTrainPlanData","FrgnTrainName"
"dbo","tblTrainPlanData","TrainType"
"dbo","tblTrainPlanData","TrainKind"
"dbo","tblTrainPlanData","TrainNotes"
"dbo","tblTrainPlanData","MinRoutePoint"
"dbo","tblTrainPlanData","MaxRoutePoint"
