"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"200778","200013","AVENUE","1112DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","18","0;1;200013;","0;1;200013;","0;1;200013;","20;1;200013;18","0;1;200013;0001","0;1;200013;0001","200","1","ESCONDIDO","",,,,"NONE"
"200779","200014","BUENA CREEK","1119DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","19","0;1;200014;","0;1;200014;","0;1;200014;","20;1;200014;19","0;1;200014;0001","0;1;200014;0001","200","1","ESCONDIDO","",,,,"NONE"
"200780","200014","BUENA CREEK","1119POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","19","0;1;200014;","0;1;200014;","0;1;200014;","19;1;200014;19","0;1;200014;0001","0;1;200014;0001","200","1","ESCONDIDO","",,,,"NONE"
"200781","200014","BUENA CREEK","1128POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","19","0;1;200014;","0;1;200014;","0;1;200014;","21;1;200014;19","0;1;200014;0001","0;1;200014;0001","200","1","ESCONDIDO","",,,,"NONE"
"200782","200014","BUENA CREEK","1128DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","19","0;1;200014;","0;1;200014;","0;1;200014;","22;1;200014;19","0;1;200014;0001","0;1;200014;0001","200","1","ESCONDIDO","",,,,"NONE"
"200783","200016","MISSY","1148POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","20","0;1;200016;","0;1;200016;","0;1;200016;","22;1;200016;20","0;1;200016;0001","0;1;200016;0001","200","1","ESCONDIDO","",,,,"NONE"
"200784","200016","MISSY","1137DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","20","0;1;200016;","0;1;200016;","0;1;200016;","18;1;200016;20","0;1;200016;0001","0;1;200016;0001","200","1","ESCONDIDO","",,,,"NONE"
"200785","200016","MISSY","1137POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","20","0;1;200016;","0;1;200016;","0;1;200016;","17;1;200016;20","0;1;200016;0001","0;1;200016;0001","200","1","ESCONDIDO","",,,,"NONE"
"200786","200016","MISSY","1148DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","20","0;1;200016;","0;1;200016;","0;1;200016;","20;1;200016;20","0;1;200016;0001","0;1;200016;0001","200","1","ESCONDIDO","",,,,"NONE"
"200787","200016","MISSY","1149POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","20","0;1;200016;","0;1;200016;","0;1;200016;","21;1;200016;20","0;1;200016;0001","0;1;200016;0001","200","1","ESCONDIDO","",,,,"NONE"
"200789","200015","PALOMAR","1153DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","21","0;1;200015;","0;1;200015;","0;1;200015;","22;1;200015;21","0;1;200015;0001","0;1;200015;0001","200","1","ESCONDIDO","",,,,"NONE"
"200790","200015","PALOMAR","1153POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","21","0;1;200015;","0;1;200015;","0;1;200015;","21;1;200015;21","0;1;200015;0001","0;1;200015;0001","200","1","ESCONDIDO","",,,,"NONE"
"200791","200015","PALOMAR","1157POK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","21","0;1;200015;","0;1;200015;","0;1;200015;","25;1;200015;21","0;1;200015;0001","0;1;200015;0001","200","1","ESCONDIDO","",,,,"NONE"
"200792","200015","PALOMAR","1157DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","21","0;1;200015;","0;1;200015;","0;1;200015;","26;1;200015;21","0;1;200015;0001","0;1;200015;0001","200","1","ESCONDIDO","",,,,"NONE"
"200794","200017","LOOP WEST","1166DOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","22","0;1;200017;","0;1;200017;","0;1;200017;","30;1;200017;22","0;1;200017;22","0;1;200017;22","200","1","ESCONDIDO","",,,,"NONE"
