"Id","LocomotiveId","Last2100","IcdInterfaceVersion"
"20768","BNSF  8762","2026-03-24 오전 8:34:32","BOS_ICD_3_0"
"29226","BNSF  5192","2026-03-24 오전 8:34:18","ICD_4_0"
"28434","SCAX   659","2026-03-24 오전 8:34:06","BOS_ICD_3_0"
"25487","BNSF  9254","2026-03-24 오전 8:34:01","ICD_4_0"
"27070","BNSF  8085","2026-03-24 오전 8:33:45","BOS_ICD_3_0"
"23377","BNSF  6213","2026-03-24 오전 8:33:32","ICD_4_0"
"30097","BNSF  6752","2026-03-24 오전 8:33:29","BOS_ICD_3_0"
"25811","BNSF  2285","2026-03-24 오전 8:33:22","ICD_4_0"
"26064","BNSF  6274","2026-03-24 오전 8:33:05","ICD_4_0"
"23318","BNSF  6227","2026-03-24 오전 8:32:43","BOS_ICD_3_0"
