switch_uid,control_point_uid,subdivision_name,codeline,switch_name,track_name,type_of_switch,switch_point_monitor_mode,rcps_flag,shared_anchor_raw,rcps_control_distinct_tokens,rcps_indication_distinct_tokens,anchor_equals_rcps_indication,lockbit_raw,tind_raw,anchor_equals_lockbit,anchor_equals_tind,tctl_parts,anchor_present_in_tctl,tctl_all_parts_anchor,tctl_non_anchor_sibling_count,tctl_non_anchor_siblings,switch_blk_bit_raw,switch_blk_bit_is_default_zero,switch_blk_bit_is_nondefault,switch_block_control_parts,switch_block_control_part_count,switch_block_control_nondefault_part_count,switch_block_control_resolved_count,switch_block_control_unresolved_count,switch_block_control_default_zero_count,switch_block_control_resolved_mnemonics,pctl_resolved_mnemonics,pind_resolved_mnemonics,sctl_resolved_mnemonics,sind_resolved_mnemonics
100241,100013,SAN DIEGO,5,EAST LEG ESCONDIDO JCT,MAIN1,SPM ONLY,True,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,,,,
100275,100013,SAN DIEGO,5,3-SWITCH,MT1,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100286,100013,SAN DIEGO,5,3-SWITCH,MT2,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,3NWS,3NWK,3RWS,3RWK
100732,100013,SAN DIEGO,5,7-SWITCH,MT1,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,7NWS,7NWK,7RWS,7RWK
100735,100013,SAN DIEGO,5,7-SWITCH,OSD POCKET,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,7NWS,7NWK,7RWS,7RWK
100756,100013,SAN DIEGO,5,5-SWITCH,OSD POCKET,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,0;0;0;0|0;0;0;0,2,0,0,0,2,,5NWS,5NWK,5RWS,5RWK
100773,100013,SAN DIEGO,5,5-SWITCH,MT1,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,0;0;0;0|0;0;0;0,2,0,0,0,2,,5NWS,5NWK,5RWS,5RWK
100779,100013,SAN DIEGO,5,1-SWITCH,MT1,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100782,100013,SAN DIEGO,5,1-SWITCH,MT2,NORMAL,False,False,0;1;100013,0;1;100013,0;1;100013,True,0;1;100013,0;1;100013,True,True,0;1;100013|0;1;100013,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,1NWS,1NWK,1RWS,1RWK
100825,100015,SAN DIEGO,5,1-SWITCH,MAIN,NORMAL,False,False,0;1;100015,0;1;100015,0;1;100015,True,0;1;100015,0;1;100015,True,True,0;1;100015|0;1;100015,True,True,0,,0;0;0,True,False,,0,0,0,0,0,,NWS,NWK,RWS,1RWK
